"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Leading causes of death, total population, by age group","13100394","102-0561","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310039401",1;2;3;20;21;22;23;24;25,"CURRENT - a cube available to the public and that is current","Annual","2000-01-01","2020-01-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography, place of residence",4;5,""
"2","Age at time of death",6,""
"3","Sex",10,""
"4","Leading causes of death (ICD-10)",11;12;13,""
"5","Characteristics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada, place of residence","[11124]","1","","",,
"2","Age at time of death, all ages","","1","","",7;8,
"2","Age at time of death, 1 to 4 years","","2","21","",9,
"2","Age at time of death, 5 to 9 years","","3","21","",,
"2","Age at time of death, 10 to 14 years","","4","21","",,
"2","Age at time of death, 15 to 19 years","","5","22","",,
"2","Age at time of death, 20 to 24 years","","6","22","",,
"2","Age at time of death, 25 to 29 years","","7","23","",,
"2","Age at time of death, 30 to 34 years","","8","23","",,
"2","Age at time of death, 35 to 39 years","","9","24","",,
"2","Age at time of death, 40 to 44 years","","10","24","",,
"2","Age at time of death, 45 to 49 years","","11","25","",,
"2","Age at time of death, 50 to 54 years","","12","25","",,
"2","Age at time of death, 55 to 59 years","","13","26","",,
"2","Age at time of death, 60 to 64 years","","14","26","",,
"2","Age at time of death, 65 to 69 years","","15","27","",,
"2","Age at time of death, 70 to 74 years","","16","27","",,
"2","Age at time of death, 75 to 79 years","","17","28","",,
"2","Age at time of death, 80 to 84 years","","18","28","",,
"2","Age at time of death, 85 to 89 years","","19","29","",,
"2","Age at time of death, 90 years and over","","20","29","",,
"2","Age at time of death, 1 to 14 years","","21","1","",,
"2","Age at time of death, 15 to 24","","22","1","",,
"2","Age at time of death, 25 to 34 years","","23","1","",,
"2","Age at time of death, 35 to 44 years","","24","1","",,
"2","Age at time of death, 45 to 54 years","","25","1","",,
"2","Age at time of death, 55 to 64 years","","26","1","",,
"2","Age at time of death, 65 to 74 years","","27","1","",,
"2","Age at time of death, 75 to 84 years","","28","1","",,
"2","Age at time of death, 85 and over","","29","1","",,
"3","Both sexes","","1","","",,
"3","Males","","2","1","",,
"3","Females","","3","1","",,
"4","Salmonella infections","[A01-A02]","1","100","",,
"4","Shigellosis and amoebiasis","[A03, A06]","2","100","",,
"4","Tuberculosis","[A16-A19]","3","100","",,
"4","Whooping cough","[A37]","4","100","",,
"4","Scarlet fever and erysipelas","[A38, A46]","5","100","",,
"4","Meningococcal infection","[A39]","6","100","",,
"4","Sepsis","[A40-A41]","7","100","",,
"4","Syphilis","[A50-A53]","8","100","",,
"4","Acute poliomyelitis","[A80]","9","100","",,
"4","Arthropod-borne viral encephalitis","[A83-A84, A85.2]","10","100","",,
"4","Measles","[B05]","11","100","",,
"4","Viral hepatitis","[B15-B19]","12","100","",,
"4","Human immunodeficiency virus [HIV] disease","[B20-B24]","13","100","",,
"4","Malaria","[B50-B54]","14","100","",,
"4","Malignant neoplasms","[C00-C97]","15","100","",,
"4","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour","[D00-D48]","16","100","",,
"4","Anaemias","[D50-D64]","17","100","",,
"4","Diabetes mellitus","[E10-E14]","18","100","",,
"4","Nutritional deficiencies","[E40-E64]","19","100","",,
"4","Meningitis","[G00, G03]","20","100","",,
"4","Parkinson's disease","[G20-G21]","21","100","",,
"4","Alzheimer's disease","[G30]","22","100","",,
"4","Diseases of heart","[I00-I09, I11, I13, I20-I51]","23","100","",,
"4","Essential hypertension and hypertensive renal disease","[I10, I12, I15]","24","100","",,
"4","Cerebrovascular diseases","[I60-I69]","25","100","",,
"4","Atherosclerosis","[I70]","26","100","",,
"4","Aortic aneurysm and dissection","[I71]","27","100","",,
"4","Influenza and pneumonia","[J09-J18]","28","100","",,
"4","Acute bronchitis and bronchiolitis","[J20-J21]","29","100","",,
"4","Chronic lower respiratory diseases","[J40-J47]","30","100","",,
"4","Pneumoconioses and chemical effects","[J60-J66, J68]","31","100","",,
"4","Pneumonitis due to solids and liquids","[J69]","32","100","",,
"4","Peptic ulcer","[K25-K28]","33","100","",,
"4","Diseases of appendix","[K35-K38]","34","100","",,
"4","Hernia","[K40-K46]","35","100","",,
"4","Chronic liver disease and cirrhosis","[K70, K73-K74]","36","100","",,
"4","Cholelithiasis and other disorders of gallbladder","[K80-K82]","37","100","",,
"4","Nephritis, nephrotic syndrome and nephrosis","[N00-N07, N17-N19, N25-N27]","38","100","",,
"4","Infections of kidney","[N10-N12, N13.6, N15.1]","39","100","",,
"4","Hyperplasia of prostate","[N40]","40","100","",,
"4","Inflammatory diseases of female pelvic organs","[N70-N76]","41","100","",,
"4","Pregnancy, childbirth and the puerperium","[O00-O99]","42","100","",,
"4","Certain conditions originating in the perinatal period","[P00-P96]","43","100","",,
"4","Congenital malformations, deformations and chromosomal abnormalities","[Q00-Q99]","44","100","",,
